Timestamp,Open,High,Low,Close,Volume,CurrencyVolume,TradeAmount,Flag
1764040500000,2.2475,2.2537,2.2441,2.2529,1759,175997,395928.0024,1
1764039600000,2.2495,2.2594,2.2466,2.2475,2809,280980,632925.0681,1
1764038700000,2.2422,2.2519,2.2404,2.2505,5663,566309,1271041.3353,1
1764037800000,2.2391,2.2452,2.2315,2.242,9067,906750,2029209.4236,1
1764036900000,2.2447,2.2492,2.2359,2.2391,3415,341579,765789.9866,1
1764036000000,2.2476,2.254,2.2411,2.2446,3928,392844,883240.722,1
1764035100000,2.2556,2.259,2.2447,2.2472,3519,351971,792771.3677,1
1764034200000,2.245,2.2616,2.244,2.256,4922,492267,1110552.7878,1
1764033300000,2.2557,2.2571,2.2444,2.2457,2527,252778,568992.2608,1
1764032400000,2.2589,2.2598,2.2464,2.2552,4081,408157,919217.9592,1
1764031500000,2.2488,2.264,2.2451,2.2588,4774,477443,1076632.4915,1
1764030600000,2.2359,2.2528,2.2307,2.2488,5240,524078,1176296.4298,1
1764029700000,2.2377,2.246,2.2326,2.2359,4596,459616,1028486.3567,1
1764028800000,2.2268,2.2477,2.2246,2.2377,5086,508616,1138150.1666,1
1764027900000,2.2303,2.2303,2.2201,2.2267,3136,313630,697574.9865,1
1764027000000,2.2343,2.2343,2.2255,2.2302,4279,427957,953548.7293,1
1764026100000,2.239,2.2406,2.2327,2.2347,1916,191643,428583.4498,1
1764025200000,2.2393,2.2475,2.2352,2.239,2858,285875,640816.3756,1
1764024300000,2.2368,2.2411,2.2328,2.2405,3319,331988,742666.1616,1
1764023400000,2.2513,2.2561,2.2344,2.2367,7552,755257,1694447.858,1
1764022500000,2.2534,2.2545,2.2439,2.2512,5989,598937,1346727.3801,1
1764021600000,2.2406,2.2576,2.2406,2.2529,7473,747307,1682938.2755,1
1764020700000,2.2358,2.2455,2.2339,2.241,2640,264047,591369.2889,1
1764019800000,2.2477,2.248,2.2328,2.2358,3297,329725,738646.8724,1
1764018900000,2.2429,2.2566,2.2349,2.2473,8147,814777,1830881.946,1
1764018000000,2.2419,2.2466,2.2314,2.2429,14150,1415065,3167779.6785,1
1764017100000,2.2671,2.2742,2.2414,2.2422,12669,1266929,2861318.0177,1
1764016200000,2.2736,2.2849,2.2581,2.2674,11091,1109159,2517940.3725,1
1764015300000,2.2559,2.2805,2.2538,2.2732,19204,1920449,4352086.5921,1
1764014400000,2.2341,2.267,2.2295,2.2569,15601,1560102,3505991.9132,1
1764013500000,2.2322,2.2371,2.2232,2.2338,9349,934926,2084618.6425,1
1764012600000,2.2186,2.2365,2.2184,2.2327,8615,861563,1921247.1038,1
1764011700000,2.2227,2.2256,2.2161,2.2187,3358,335889,745622.616,1
1764010800000,2.2173,2.2254,2.2123,2.2221,5051,505131,1121207.035,1
1764009900000,2.2084,2.2237,2.2041,2.2174,6059,605983,1342883.6601,1
1764009000000,2.2027,2.2281,2.2003,2.2087,13583,1358388,3009319.5194,1
1764008100000,2.1955,2.2087,2.1927,2.2021,6970,697091,1535180.2212,1
1764007200000,2.205,2.2125,2.1845,2.1953,22014,2201482,4833934.1643,1
1764006300000,2.1905,2.2093,2.182,2.2051,12972,1297201,2850462.7464,1
1764005400000,2.1666,2.1959,2.1594,2.191,21170,2117011,4613763.371,1
1764004500000,2.1356,2.1694,2.1337,2.1665,27404,2740423,5902848.1364,1
1764003600000,2.1184,2.1368,2.1179,2.1364,9069,906919,1931802.7926,1
1764002700000,2.1143,2.1207,2.1109,2.1171,4334,433440,917055.4021,1
1764001800000,2.1032,2.1156,2.1014,2.1145,5010,501041,1056899.863,1
1764000900000,2.0942,2.1092,2.0941,2.1034,4557,455770,958549.0233,1
1764000000000,2.0893,2.1063,2.0861,2.093,7620,762098,1598213.2607,1
1763999100000,2.0888,2.0965,2.084,2.0893,5576,557688,1166117.7699,1
1763998200000,2.0703,2.0907,2.0676,2.0884,7726,772601,1610540.3158,1
1763997300000,2.0807,2.084,2.0664,2.0711,4453,445379,924215.2397,1
1763996400000,2.0745,2.0839,2.0686,2.0803,8430,843069,1751236.0735,1
1763995500000,2.0599,2.0729,2.0481,2.0729,11439,1143989,2360171.7112,1
1763994600000,2.0703,2.1021,2.0586,2.0618,10061,1006136,2093197.8172,1
1763993700000,2.081,2.0815,2.0699,2.0701,3850,385060,799374.0119,1
1763992800000,2.0816,2.0867,2.0777,2.0813,3300,330018,686888.8172,1
1763991900000,2.0978,2.098,2.0799,2.0828,4147,414788,866333.267,1
1763991000000,2.0822,2.0984,2.08,2.0975,2764,276440,576842.4934,1
1763990100000,2.0878,2.0926,2.0789,2.0827,2671,267179,557119.3618,1
1763989200000,2.0635,2.101,2.0621,2.0876,7313,731399,1527087.5524,1
1763988300000,2.0578,2.0653,2.0546,2.0646,2470,247055,508784.7081,1
1763987400000,2.0603,2.0687,2.0552,2.0576,3748,374811,772095.1065,1
1763986500000,2.0499,2.0611,2.0483,2.0588,1476,147672,303404.7979,1
